title,channel_id,description,subscriber_count,view_count,normalized_subscribers,normalized_views
Psychology Spain,UCSqJX3w9y48lSODGj9n4Bsg,"Canal dedicado al cuerpo y la mente. Mejora tu bienestar emocional y consigue todo lo que te propongas. Queremos abordar esos temas difíciles que a menudo se pasan por alto, haciéndolos comprensibles y relevantes para ti. Nuestro objetivo es desmantelar el estigma que rodea a la salud mental y arrojar luz sobre las áreas oscuras de nuestras vidas.

En ""Psychology Spain"", encontrarás una amplia variedad de contenido emocionante y valioso. Te ofrecemos consejos prácticos para mejorar tus relaciones personales y consejos para el bienestar físico y mental.

Queremos empoderarte y poner soluciones a los desafíos que todos enfrentamos y alentarte a buscar ayuda profesional cuando sea necesario.

Únete a nuestra comunidad, comparte tus experiencias y descubre cómo cultivar una mentalidad positiva puede cambiar tu vida. ¡Suscríbete y forma parte de esta emocionante aventura hacia el bienestar emocional y la salud mental!

",1,4,1.6722408026755853e-05,2.8134090168492957e-07
Inside Salud Mental y Bienestar,UCK0XySXW9pO_TAhcB4LY4yw,Sin descripción,15,72,0.00025083612040133777,5.0641362303287325e-06
Balanc3 - Salud Mental Integral,UCEY04dnJwWcT6PtlHaEiZPQ,"Entendemos la salud mental de una forma integral.

Un nuevo método clínico para cuidar tu bienestar psicosocial, nutricional y físico con la calidez de un equipo dedicado a identificar tus necesidades.
",9,729,0.00015050167224080267,5.1274379332078414e-05
Conscientemente Salud Mental y Psicoterapia,UCPP2dlmgaNCIjgT_kgjm5bQ,"Conscientemente Salud Mental y Psicoterapia somos un grupo de profesionales con un alto sentido de responsabilidad, respeto y empatía, enfocados en promover el cuidad de la salud mental y en fomentar la consciencia relacional desde un enfoque de derechos humanos y con una visión científica para incidir en el bienestar de las personas y contribuir a la construcción de una sociedad más consciente y más humana.",24,2392,0.0004013377926421405,0.00016824185920758788
EMPRENDIENDO BIENESTAR,UCk3DtwzSx-LMpCJ0op65Cvw,"Te compartimos ideas saludables para que inicies una vida llena de motivación y bienestar, mejorando tu salud mental y física y aumentando tu autoestima a través de hábitos diarios con actividades que te encantarán. 
Conoce más en nuestra página 👇  
https://mstr.ly/emprendiendo-bienestar  

",803,37292,0.01342809364548495,0.002622941226408598
Salud y Energia,UCQhmpQsMzyr1FiO_-4ES1Mw,"Salud y Energía es un canal de YouTube dedicado a proporcionar información y consejos sobre salud y bienestar personal. Nuestro objetivo es ayudar a las personas a alcanzar su máximo potencial físico, mental y emocional.
En nuestro canal encontrarás vídeos sobre una amplia gama de temas, incluyendo:
Nutrición y dieta
Ejercicio y fitness
Salud mental y emocional
Higiene y cuidado personal
Estilo de vida saludable
Nuestros vídeos son creados por un equipo de expertos en salud y bienestar, y están diseñados para ser informativos, entretenidos y fáciles de seguir.

Si estás interesado en mejorar tu salud y bienestar personal, ¡este canal es para ti! Suscribiéndote, podrás:
Aprender sobre las últimas tendencias en salud y bienestar.
Obtener consejos prácticos para mejorar tu salud y bienestar.
Inspirarte para adoptar un estilo de vida más saludable.
",30,4532,0.0005016722408026755,0.0003187592416090252
PsicoTerapia Bienestar y Ayuda,UCY4-HOZvrXlgXxPMVXVgOvw,"La salud mental es un camino que hay que recorrer cada día, nosotros podemos acompañarte.

 MISIÓN
Brindar atención clínica de salud mental a pacientes de la comunidad  y público en general, con calidez humana y experiencia profesional. 

Psico-Terapia Bienestar y Ayuda tiene como valores:

*Confianza
*Ética
*Confidencialidad
*Respeto 
*Empatía
*Responsabilidad

Atención psicológica individual y grupal:

Infantil, adolescentes, adultos, adultos mayores y familiar.

Atención neuropsicológica
Terapia de lenguaje y aprendizaje
Evaluación y diagnóstico
Talleres
Atención a escuelas y empresas",3840,220864,0.06421404682274247,0.015534519227435071
MenteScopia - Salud mental y Neurociencia,UC-4wH9mDkZkTFpi4aZDqwFw,"Divulgar sobre salud mental mejora la calidad de vida de las personas. MenteScopia es un proyecto multiformato de divulgación científica sobre prevención de trastornos mentales desde los avances desarrollados en el campo de la neurociencia, dirigido a adolescentes, madres y padres, pacientes y asociaciones. Porque apostar por la educación en salud mental es abogar por el bienestar social.

Con la colaboración de FECYT - Ministerio de Ciencia e Innovación",219,14354,0.0036622073578595317,0.0010095918256963698
Yoga y Bienestar ,UCU1ZTMfSgHrtbG_xec34iSg,"Yoga y Bienestar es un canal de YouTube que se enfoca en promover la práctica del yoga y otros ejercicios de bienestar, así como en compartir consejos y herramientas para mejorar la salud y el bienestar en general. En el canal, se pueden encontrar videos de diferentes estilos de yoga y meditación, así como de otras prácticas de bienestar como Pilates, . También se comparten consejos sobre nutrición saludable y recetas para una alimentación equilibrada y nutritiva.
El objetivo principal del canal es proporcionar a los espectadores una fuente de inspiración y motivación para llevar una vida más saludable y equilibrada, y para mejorar su bienestar físico y mental. Los videos son guiados . En resumen, Yoga y Bienestar es una excelente opción para aquellos que buscan mejorar su salud y bienestar a través de la práctica del yoga y otros ejercicios de bienestar, y para aquellos que buscan consejos y herramientas para llevar una vida más saludable y equilibrada en general.",86,11890,0.0014381270903010034,0.0008362858302584531
ÆTHERBACH SALUD Y BIENESTAR,UC9Z-MGq5O7EL9rMF4I9QENg,"Ætherbach salud y bienestar es un canal dedicado a promover la salud y el bienestar integral. El canal ofrece una amplia gama de productos y servicios, incluyendo:
Consultoría personalizada para brindar orientación y apoyo en el camino hacia el bienestar.
Psicoterapia para ayudar a resolver problemas emocionales y mejorar la salud mental.
Medicina complementaria, incluyendo terapias ancestrales y naturales, combinadas con prácticas terapéuticas occidentales.
Formación gratuita y especializada a través de cursos, talleres y charlas.
Productos de alta calidad, como suplementos, alimentos saludables, productos para el hogar y para ocasiones especiales.
El canal se basa en un enfoque holístico de la salud, que considera que el bienestar físico y mental están estrechamente relacionados. Ætherbach ofrece una variedad de productos y servicios diseñados para ayudar a las personas a alcanzar un equilibrio dinámico entre su mente y su cuerpo.
",0,7,0.0,4.923465779486267e-07
Calma y Bienestar,UC4huTb96kadliXWJ8-UTRFw,"""¡Bienvenido/a a nuestro canal dedicado a inspirar y empoderar tu bienestar emocional! Aquí encontrarás una variedad de videos motivadores y educativos que te guiarán en el camino hacia una mejor salud mental y emocional. Aprende técnicas de meditación para calmar la mente y reducir el estrés, descubre herramientas prácticas para cultivar una mentalidad positiva y encuentra el apoyo que necesitas para cuidar tu bienestar en todas las áreas de tu vida. Únete a nuestra comunidad y comienza a transformar tu vida hoy mismo"".

Tambien puedes seguirnos en 
Instagram: @calmaybienestaroficial
Blogger: https://calmaybienestarusa.blogspot.com/ 
",435,42249,0.007274247491638796,0.002971592938821647
Movimiento Psicopolitico Salud Mental Para Todos,UCEhov9SWziOPwcdUO7w1oAg,"Comprometidos con la Paz. Nuestro propósito es velar por el Bienestar de los Profesionales de la Psicologia y la Salud Mental de la Sociedad Colombiana. 
Si deseas unirte al Movimiento puedes escribirnos al WhatsApp 3227887068
",132,2945,0.0022073578595317726,0.00020713723886552939
A.P.I Salud Mental y Bienestar,UC4LxvvjoX2Ry4b69bciLzug,Asociación Psicologica Integral A.P.I es un espacio con fines educativos y terapeuticos en el que podrás aprender herramientas que te ayudarán a complementar tu proceso terapéutico e identificar herramientas de utilidad para tu desarrollo como profesional de la salud mental,70,3778,0.0011705685618729096,0.00026572648164141597
SOM Salud Mental 360,UCcV1SL8fHtXSCkLjJYRQmAQ,"SOM Salud Mental 360 es una plataforma cocreada por Sant Joan de Déu y diferentes asociaciones de usuarios, familias y personas con experiencias en primera persona de salud mental. 
Los principales objetivos son promover la salud mental, informar con rigor y sencillez, empoderar al usuario, sensibilizar, acompañar y ser un punto de encuentro orientado al servicio de toda la población.",922,124020,0.015418060200668895,0.008722974656741241
Salud Mental Y Bienestar,UCvlXodOVH3Xcw0DBvXaEOgg,Sin descripción,1,57,1.6722408026755853e-05,4.009107849010246e-06
SALUD MENTAL Y BIENESTAR DE  LOS JÓVENES ,UCgDftUS1wOTCfJf5_8san-w,proyecto ; ),0,4,0.0,2.8134090168492957e-07
Bienestar Universitario - Universidad El Bosque,UC-Idyqm-7iEqFKtTWBZ35og,"💡✌️ Vive tu #bienestar con Bienestar Universitario de la Universidad El Bosque ✌️💡
🤍 La #salud, la #cultura, el #deporte y el apoyo comunitario 🤍
",349,25470,0.005836120401337793,0.001791438191478789
Bienestar Social SICSA,UCsKJcty3R_bHzsgO6Bshdcw,"¡Hola comunicad SICSA!
¡Bienvenidos a nuestro canal!
Aquí podrás encontrar todos nuestros videos del programa de ""Bienestar Social"", donde cada mes podrás encontrar nuevo contenido interesante para ti y tus seres queridos.

¡Gracias por ver nuestros videos!

-Comité Bienestar Social. (Karen e Ilse).
",46,5428,0.0007692307692307692,0.00038177960358644944
Medicina Televisión - Salud y bienestar,UCPi7S1s7xStCNWkBFkHBX3A,"En el canal de Medicina Televisión encontrarás vídeos de medicina en YouTube, también vídeos de salud y bienestar. Nuestro objetivo es ofrecerte contenidos explicados siempre por profesionales médicos y de otras disciplinas relacionadas con la ciencia y la salud. Medicina Televisión es... tu salud en buenas manos. 

Suscríbete al canal y conoce causas, síntomas y tratamiento de patologías muy diversas, testimonios de personas que han superado con éxito algunas enfermedades, técnicas de primeros auxilios, actividades deportivas que te ayudarán a sentirte mejor por dentro y por fuera... Todo esto y mucho más en Medicina Televisión - Salud y bienestar en YouTube.",59800,14217627,1.0,1.0
Salud Y Bienestar,UC6V35Z1jUZz42_wm5vBG3mg,Sin descripción,0,0,0.0,0.0
Bienestar Emocional,UC0KX1tyaS6OchfXqeJO3AwA,"Bienvenidos a Bienestar Emocional! Somos un rincón canal dedicado a explorar la importancia de la salud mental y las relaciones saludables en la vida cotidiana. Aquí encontrarás valiosos consejos, conversaciones enriquecedoras y recursos que te ayudarán a comprender, mejorar y nutrir tanto tu bienestar emocional como tus conexiones personales. Nuestro compromiso es promover el autocuidado, la comprensión de las emociones y la construcción de relaciones más sólidas. Si buscas un espacio para crecer, aprender y fortalecer tanto tu mente como tus vínculos personales, estás en el lugar correcto. ¡Únete a nuestra comunidad y juntos trabajemos en el camino hacia una vida más saludable y equilibrada!",8,159,0.00013377926421404682,1.118330084197595e-05
AASM Asociación Argentina de Salud Mental,UCnNT_St2CH5oP7OYzA4sVZw,"La Asociación Argentina de Salud Mental es una institución científica, académica y deontológica, dedicada al intercambio, formación e investigación entre profesionales del área de la salud mental.

https://aasm.org.ar/es
administracion@aasm.org.ar
",698,3379,0.011672240802675586,0.00023766272669834424
VIVE CON SALUD Y BIENESTAR,UChaUVho_27GPaTX-J8NMlJw,"Lectura y meditación de la palabra de Dios. Salud espiritual, física y mental. 

Suscríbete al canal y activa la campanita para que estés notificado del contenido sanador y no olvides de  compartir con tus contactos. 

Será de gran bendición 🙏",129,3354,0.002157190635451505,0.00023590434606281344
BIENESTAR TV,UC31ED5yHsC_00hMw_oXj45A,"¡Bienvenidos a Bienestar TV, el canal que llega para revolucionar tu forma de cuidarte y alcanzar un bienestar pleno en cuerpo, mente y alma! En un mundo cada vez más complejo hemos detectado una necesidad imperante en nuestros otros canales: ayudar a las personas a tomar responsabilidad sobre su propia salud. Es por eso que nace Bienestar TV.

Creemos firmemente que la batalla por el bienestar debe darse desde una perspectiva integral, donde alma, mente y cuerpo estén en equilibrio. En Bienestar TV, estamos comprometidos con tu preparación para los tiempos venideros. Para ello durante años hemos aprendido codo a codo con doctores y profesionales honestos, veraces, y comprometidos con su misión. Te invitamos a unirte a esta comunidad del bienestar y juntos seguiremos dando la batalla por una vida plena y saludable. En Bienestar TV te daremos las herramientas necesarias para que tomes el control de tu propia salud y alcances un bienestar que te empodere en todos los aspectos de tu vida
",880,20501,0.01471571906354515,0.0014419424563606852
Salud y bienestar mental,UC2n4UTAdJPzBrNpGxdHs_xg,"La salud y bienestar mental son fundamentales para una vida plena. Involucran la gestión efectiva de las emociones, el equilibrio entre trabajo y descanso, la conexión social y la adopción de hábitos saludables. Priorizar la salud mental contribuye a la resiliencia, la claridad emocional y una vida más satisfactoria.",39,267,0.0006521739130434783,1.8779505187469048e-05
TranquilaMente salud y bienestar,UCNlHa_vBDRaqjMrU0ylhmLg,"

""¡Bienvenidos a 'TranquilaMente salud y bienestar'! Este es tu destino definitivo para descubrir los secretos de un 'estilo de vida saludable'. Aquí, exploramos 'técnicas de meditación avanzadas', compartimos 'rutinas de yoga para todos los niveles', ofrecemos 'consejos de nutrición equilibrada' y revelamos estrategias para mejorar tu 'salud mental y emocional'. Nuestro canal está dedicado a proporcionar contenido valioso y práctico para aquellos que buscan 'bienestar integral', 'autocuidado efectivo' y 'mejoras en la calidad de vida'. Con una mezcla de 'videos instructivos', 'charlas motivacionales', y 'guías paso a paso', estamos aquí para acompañarte en tu viaje hacia 'la salud y la felicidad'. Únete a nuestra comunidad y participa en la conversación sobre 'hábitos saludables' y 'transformación personal'. ¡Suscríbete ahora para recibir lo último en 'bienestar y autocuidado' y comienza a vivir tu mejor vida hoy!""
",771,65809,0.012892976588628762,0.004628690849745883
A Desalambrar el bienestar,UCcAa4Ppj6Fx3yJpLe1XPMlA,Sin descripción,737,28603,0.012324414715719063,0.00201179845272351
Bienestar Sabio,UCCtCPfxm5uEjpWWqhMK057w," Bienestar sabio :Se enfoca en promover el bienestar fisico y mental atravez de concejos practicos.Informacion sobre la salud, ejercicios,tecnica de relajacion y todo lo relacionado con llevar un estilo de vida sabio ,  y equilibrado para alcanzar un mejor estilo de vida ",10,56,0.00016722408026755852,3.938772623589014e-06
Instituto para el Neurodesarrollo y Bienestar,UCAqt1S-1r7Lwd44hJguS1bQ,"Instituto Chileno para el Neurodesarrollo y Bienestar, INDeB.cl
PK Asesorías y capacitaciones.

En este canal compartiremos a través de videos y lives para concientizar y educar en temas relacionados al autismo y otras condiciones del neurodesarrollo. También conversaremos sobre neurodesarrollo, salud mental y bienestar!. 
Esta dirigido a profesionales del neurodesarrollo y la comunidad en general.
Recuerda Darle Like y Seguirnos! :-) 
----- Síguenos en fb e instagram: @indeb.pk ----
www.indeb.cl
",614,4796,0.010267558528428094,0.00033732774112023057
Salud Mental y Bienestar ,UC5FdwhEk7XziShW2KlyyAZQ,Este es un canal dedicado para ayudar a las personas y motivarlas a cuidarse no solo físicamente . Dar la importancia que se merece una buena salud mental.,3,55,5.016722408026756e-05,3.868437398167782e-06
Cuerpo Académico Riesgo y Bienestar Social,UCq0qND7-tZKwSBJEli07d0w,Somos un grupo de investigadores que comparten una o varias líneas de generación y aplicación innovadora del conocimiento en temas disciplinares o multidisciplinares y un conjunto de  objetivos y metas académicas.,80,2276,0.0013377926421404682,0.0001600829730587249
Salud Belleza y Bienestar,UCzGiZkFTADQ8yOTgiral5lw,"¡ Hola amig@ !
Bienvenidos a mi canal Salud Belleza y Bienestar.

Mi OBJETIVO #1 es poder ayudarte con consejos, sugerencias, recetas y mensajes positivos en PRO de tú SALUD, tú BELLEZA y tú BIENESTAR.

Aquí podrás encontrar VIDEOS con sugerencias, consejos, frases motivacionales, tratamientos naturales, recetas  caseras, remedios caseros que te ayudarán a mejorar tú SALUD (física y mental),   tú BELLEZA y tú BIENESTAR FÍSICO Y EMOCIONAL.

Mil gracias por ver mis videos y suscribirte a mi canal😉

",777,119041,0.012993311036789298,0.008372775569368924
Equilibrio y Bienestar,UCwA93rEzQEA3KPI-lkm4MSg,Sin descripción,338,8912,0.005652173913043478,0.0006268275289540231
